id,Name,Area Name,Borough,Address,Latitude,Longitude,hasFemaleFacilities,hasWheelchairAccess,Url Slug,Google Url
25,Globe Town Mosque,Bethnal Green,Tower Hamlets,"100 Roman Rd, E2 0RN",51.52869157,-0.04821843951,false,false,globetownmasjid,https://goo.gl/maps/hwuYsiidzzx19cTp8
26,Hamlets Way Masjid,Mile End,Tower Hamlets,"97-101 Hamlets Way, E3 4TL",51.52335176,-0.03362084195,false,false,hamletswaymasjid,https://goo.gl/maps/oSB8VfS928GRkWyr5
27,Hifzul Qur'an Masjid,Limehouse,Tower Hamlets,"304 Burdett Rd, E14 7DQ",51.51503138,-0.02885774297,false,false,hifzulquran,https://goo.gl/maps/gNKHUC2DLasjicc47
28,Hindgrove Masjid,Poplar,Tower Hamlets,"162 Pigott St, E14 7DW",51.51299327,-0.02547935131,false,false,hindgrovemasjid,https://goo.gl/maps/VFMuvuiQHQtdAyZm6
29,Lansbury Estate Masjid,Poplar,Tower Hamlets,"20 Alton St, E14 6BZ",51.51513331,-0.01822684862,false,false,lansburymasjid,https://goo.gl/maps/N13u2BtTvvZFHbXG9
30,Limehouse Masjid,Limehouse,Tower Hamlets,"304-306 Stocks Place, E14 8AE",51.51014177,-0.02830659904,false,false,limehousemasjid,https://goo.gl/maps/iYS4LD5jxzRFJ4i78
31,Locksley Estate Mosque,Limehouse,Tower Hamlets,"7 Lydbrook Place, E14 7TU",51.51390834,-0.03302752863,false,false,locksleymasjid,https://goo.gl/maps/uDNKLtTk4fMsbvj99
32,Madina Jamme Masjid,Docklands,Tower Hamlets,"248 Westferry Road, E14 3AG",51.48856283,-0.01947428283,false,false,madinamasjid,https://goo.gl/maps/aZpR8g1NyNxChAjM8
33,Markazi Masjid,Whitechapel,Tower Hamlets,"9-11 Christian St, E1 1SE",51.51166006,-0.06434334719,false,false,markazimasjid,https://goo.gl/maps/KdC3h6tadtiC783J7
34,Mazahirul Uloom London,Mile End,Tower Hamlets,"241-243 Mile End Road, E1 4AA",51.52231152,-0.04440924182,false,false,mazahirululoom,https://goo.gl/maps/AxzKYMcFQG4z455EA
35,Mimbar Academy,Bow,Tower Hamlets,"71 Smeed Rd, E3 2NE",51.53919667,-0.02422559545,false,false,mimbar,https://goo.gl/maps/AjaJMpNaF75qNXmK9
36,Poplar Central Mosque,Poplar,Tower Hamlets,"253 East India Dock Rd, E14 0EG",51.51149348,-0.00983350768,false,false,poplarcentralmasjid,https://goo.gl/maps/3hNNi3ynvfaNHzNE7
37,Poplar Mosque & CC,Poplar,Tower Hamlets,"6 Webber Path, E14 0FZ",51.51102911,-0.009751529447,true,false,pmcc,https://goo.gl/maps/A4gqYmuDnpU3uXVi6
38,Poplar Shahjalal Masjid,Poplar,Tower Hamlets,"25 Hale St, E14 0BF",51.50946517,-0.0175336695,false,false,poplarshahjalal,https://goo.gl/maps/x7LXYPpQ513Fk9XZ8
39,Redcoat Masjid,Stepney,Tower Hamlets,"256 Stepney Way, E1 3DW",51.51676049,-0.04810487669,false,false,redcoatmasjid,https://goo.gl/maps/e4Lnk6tvgo4cvKSUA
40,Shadwell Gardens Masjid,Shadwell,Tower Hamlets,"129 Shadwell Gardens, E1 2QL",51.51127421,-0.05599101509,false,false,shadwellgardensmasjid,https://goo.gl/maps/C2v4VGVdA9nbmMcA7
41,Shadwell Jamme Masjid,Shadwell,Tower Hamlets,"143-145 Martha St, E1 2PG",51.51200447,-0.05563821722,false,false,shadwellmasjid,https://goo.gl/maps/n4pwKwsW8PkGaSyQ8
42,Shahporan Masjid,Bethnal Green,Tower Hamlets,"444 Hackney Rd, E2 6QL",51.53189661,-0.06031452235,false,false,shahporanmasjid,https://goo.gl/maps/VG7MgpSossU7zx9t6
43,Shoreditch Masjid,Shoreditch,Tower Hamlets,"53-55 Redchurch St, E2 7DJ",51.52451121,-0.07469531622,false,false,shoreditchmasjid,https://goo.gl/maps/gHBfVdjPz4Biwc9S6
44,Stepney Shahjalal Mosque,Stepney,Tower Hamlets,"81 Ducket St, E1 4TD",51.52012702,-0.04099274904,false,false,ssmacc,https://goo.gl/maps/D6b9DDkntBpjeZnHA
45,Teviot Masjid,Poplar,Tower Hamlets,"181 Teviot St, E14 6PY",51.51880714,-0.0118015736,false,false,teviotmasjid,https://goo.gl/maps/KNaPxLEFCKxEjnDU7
46,Turners Road Masjid,Limehouse,Tower Hamlets,"42 Turners Rd, E3 4LE",51.51677758,-0.03186352299,false,false,turnersmasjid,https://goo.gl/maps/sETaFdaUmht7WfDS9
47,Wapping Masjid,Wapping,Tower Hamlets,"19 Prusom St, E1W 3RR",51.50618967,-0.05655914748,false,false,wappingmasjid,https://goo.gl/maps/4Zeu51ngwsMWSMyB8
48,Weavers Fields Masjid,Whitechapel,Tower Hamlets,"3a Railway Arch, Brady St, E1 5DT",51.52561251,-0.05603330636,false,false,weaversmasjid,https://goo.gl/maps/SthHW8jarZN1E8bh8
49,Westferry Community Masjid,Docklands,Tower Hamlets,"2 The Quarterdeck, E14 8SJ",51.49814366,-0.02459666575,false,false,wco,https://goo.gl/maps/bsmeSbQDLtj4dnN4A
