Masjid Name,Area Name,Address,Latitude,Longitude,url
Locksley Estate Mosque,,"Lydbrook Place, London, E14 7TU",51.51390834,-0.03302752863,"https://www.google.com/maps/place/Locksley+Estate+Cultural+Association+%26+Mosque/@51.5139244,-0.0417811,15z/data=!3m1!4b1!4m5!3m4!1s0x487603791f27bd07:0x2a02b9c0be6911e4!8m2!3d51.5139114!4d-0.0330263"
Madina Jamme Masjid,,"248 Westferry Road, London, E14 3AG",51.48856283,-0.01947428283,"https://www.google.com/maps/place/Madina+Jamme+Masjid+(Docklands)/@51.4885582,-0.0282371,15z/data=!3m1!4b1!4m5!3m4!1s0x48760395e94d9f2d:0x85852857dedb5005!8m2!3d51.4885596!4d-0.0194752"
Markazi Masjid,,"9-11 Christian Street, London, E1 1SE",51.51166006,-0.06434334719,"https://www.google.com/maps/place/East+London+Markazi+Masjid/@51.5117029,-0.0731011,15z/data=!3m1!4b1!4m5!3m4!1s0x4876033387fe0b91:0xe00cf9edae8cc761!8m2!3d51.5116578!4d-0.0643438"
Mazahirul Uloom London,,"241-243 Mile End Road, London, E1 4A",51.52231152,-0.04440924182,"https://www.google.com/maps/place/Mazahirul+Uloom+Stepney+Green/@51.5224664,-0.0532137,15z/data=!3m1!4b1!4m5!3m4!1s0x48761d29af7264b9:0xb8237804a6621faf!8m2!3d51.5224578!4d-0.0444216"
Mimbar Academy,,"Unit D, The Old Smokehouse, 71 Smeed Rd, Bow, London, E3 2NE",51.53919667,-0.02422559545,"https://www.google.com/maps/place/Mimbar+Academy+and+Cultural+Centre+%26+Mosque+%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A9+%D9%85%D9%86%D8%A8%D8%B1+%D9%88+%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D9%8A%E2%80%AD/@51.5392634,-0.0247102,20.35z/data=!4m5!3m4!1s0x48761d44b064f369:0x3c1ef84e9da34295!8m2!3d51.5391935!4d-0.0242274"
Poplar Central Mosque,,"253 East India Dock Road, London, E14 0EG",51.51149348,-0.00983350768,"https://www.google.com/maps/place/Poplar+Central+Mosque/@51.511537,-0.0186169,15z/data=!3m1!4b1!4m5!3m4!1s0x4876039e7d5917f7:0x65682fd0bc00cda0!8m2!3d51.5114932!4d-0.0098336"
Poplar Mosque & Community Centre,,"6 Webber Path, Poplar, London, E14 0FZ",51.51102911,-0.009751529447,"https://www.google.com/maps/place/Poplar+Mosque+%26+Community+Centre/@51.5110416,-0.0185063,15z/data=!3m1!4b1!4m5!3m4!1s0x487602adb87b660b:0x4194a172172edb2c!8m2!3d51.5110286!4d-0.0097515"
Redcoat Community Centre & Mosque,,"256 Stepney Way, London, E1 3DW",51.51676049,-0.04810487669,"https://www.google.com/maps/place/Redcoat+Community+Centre+and+Masjid/@51.5166743,-0.056863,15z/data=!3m1!4b1!4m5!3m4!1s0x48761cd4e2e899a9:0x3392b1a3ad9d565d!8m2!3d51.5167593!4d-0.0481057"
Shadwell Gardens TRA Masjid,,"129 Shadwell Place, London, E1 2QL",51.51127421,-0.05599101509,"https://www.google.com/maps/place/Shadwell+Gardens+TRA+Masjid/@51.5112609,-0.0647455,15z/data=!3m1!4b1!4m5!3m4!1s0x48761cd19ba01df7:0x7644e06d3972f853!8m2!3d51.5112728!4d-0.0559902"
Shadwell Jamme Masjid,,"143-145 Martha St, London E1 2PG",51.51200447,-0.05563821722,"https://www.google.com/maps/place/Shadwell+Jame+Masjid/@51.511987,-0.0643911,15z/data=!3m1!4b1!4m5!3m4!1s0x4876032c5345ebfd:0xf9064bf77c7c7d0f!8m2!3d51.5119979!4d-0.0556367"
Shahporan Masjid,,"444 Hackney Rd, Bethnal Green, London, E2 6QL",51.53189661,-0.06031452235,"https://www.google.com/maps/place/Shahporan+Masjid/@51.5319081,-0.0604532,20.83z/data=!4m5!3m4!1s0x48761cc36a3282f1:0x9e8589233fc23e42!8m2!3d51.5318964!4d-0.060315"
Shoreditch Masjid,,"53-55 Redchurch Street, London, E2 7DJ",51.52451121,-0.07469531622,"https://www.google.com/maps/place/Shoreditch+Mosque+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/@51.5245525,-0.0834579,15z/data=!3m1!4b1!4m5!3m4!1s0x48761cb741d95303:0x746f39a87135caa4!8m2!3d51.5245115!4d-0.0746962"
Stepney Shahjalal Mosque,,"81 Ducket Street, Shandy Park, London, E1 4TD",51.52012702,-0.04099274904,"https://www.google.com/maps/place/Stepney+Shahjalal+Mosque+%26+Cultural+Centre/@51.5200444,-0.0496285,15z/data=!3m1!4b1!4m5!3m4!1s0x48761d2c00e4f49b:0x1646fa18ee130fe1!8m2!3d51.5201252!4d-0.0409928"
Teviot Community Masjid,,"181 Teviot Street, Poplar London, E14 6PY",51.51880714,-0.0118015736,"https://www.google.com/maps/place/Teviot+Bangladeshi+Cultural+Community+Group/@51.5188208,-0.0205571,15z/data=!3m1!4b1!4m5!3m4!1s0x48761d4d8853eb63:0x431a3ea7a133767b!8m2!3d51.5188077!4d-0.0118032"
Turners Road Masjid,,"42 Turners Rd, London E3 4LE",51.51677758,-0.03186352299,"https://www.google.com/maps/place/Locksley+Masjid+(Mile+End)/@51.5167833,-0.0340606,17z/data=!3m1!4b1!4m5!3m4!1s0x48761d33109ba89b:0x2bec3b5eef98b4c4!8m2!3d51.5167774!4d-0.0318614"
Wapping Masjid,,"19 Prusom Street. London, E1W 3RR",51.50618967,-0.05655914748,"https://www.google.com/maps/place/Wapping+Noorani+Masjid+%26+Cultural+Centre/@51.5061961,-0.0653146,15z/data=!3m1!4b1!4m5!3m4!1s0x4876032fa4196ed3:0x1ad6ac6e5e8d9297!8m2!3d51.5061831!4d-0.0565598"
Weavers Fields Masjid,,"3a, Railway Arch, Brady St, London, E1 5DT",51.52561251,-0.05603330636,"https://www.google.com/maps/place/Weaversfield+Muslim+Prayer+Hall/@51.525494,-0.0562979,20.38z/data=!3m1!5s0x48761cd067602ac1:0xc7be18b5d567990!4m5!3m4!1s0x48761d50376673c5:0x878747ff7210985b!8m2!3d51.5256116!4d-0.0560323"
Westferry Community Masjid ,,"2 The Quarterdeck, London, E14 8SJ",51.49814366,-0.02459666575,"https://www.google.com/maps/place/Westferry+Community+Organisation/@51.4984365,-0.0253407,18.89z/data=!4m5!3m4!1s0x487602c0be9af205:0xcd893de833e31a15!8m2!3d51.498137!4d-0.02459"
